;Step;AgentID;Position;Speed;Position_x;Position_y
0;4;1;[0, 1];3.4690602395064074;0.0;1.0
1;5;1;[3.4690602395064074, 1.1837177054241166];3.4690602395064074;3.4690602395064074;1.1837177054241166
2;6;1;[6.938120479012815, 1.1837177054241166];3.4690602395064074;6.938120479012815;1.1837177054241166
3;7;1;[10.407180718519221, 1.1837177054241166];3.4690602395064074;10.407180718519221;1.1837177054241166
4;7;2;[0, 1];2.8587609736773025;0.0;1.0
5;8;1;[13.87624095802563, 1.1837177054241166];3.4690602395064074;13.87624095802563;1.1837177054241166
6;8;2;[2.8587609736773025, 0.904934316928766];2.8587609736773025;2.8587609736773025;0.904934316928766
7;9;1;[17.345301197532038, 1.1837177054241166];3.4690602395064074;17.345301197532038;1.1837177054241166
8;9;2;[5.717521947354605, 0.904934316928766];2.8587609736773025;5.717521947354605;0.904934316928766
9;10;1;[20.814361437038446, 1.1837177054241166];3.4690602395064074;20.814361437038446;1.1837177054241166
10;10;2;[8.576282921031908, 0.904934316928766];2.8587609736773025;8.576282921031908;0.904934316928766
11;10;3;[0, 1];3.42134969020102;0.0;1.0
12;11;1;[24.283421676544855, 1.1837177054241166];3.4690602395064074;24.283421676544855;1.1837177054241166
13;11;2;[11.43504389470921, 0.904934316928766];2.8587609736773025;11.43504389470921;0.904934316928766
14;11;3;[3.42134969020102, 1.2];3.42134969020102;3.42134969020102;1.2
15;12;1;[27.752481916051263, 1.1837177054241166];3.4690602395064074;27.752481916051263;1.1837177054241166
16;12;2;[14.293804868386513, 0.904934316928766];2.8587609736773025;14.293804868386513;0.904934316928766
17;12;3;[6.84269938040204, 1.4];3.42134969020102;6.84269938040204;1.4
18;13;1;[31.22154215555767, 1.1837177054241166];3.4690602395064074;31.22154215555767;1.1837177054241166
19;13;2;[17.152565842063815, 0.904934316928766];2.8587609736773025;17.152565842063815;0.904934316928766
20;13;3;[10.264049070603061, 1.5999999999999999];3.42134969020102;10.264049070603061;1.5999999999999999
21;13;4;[0, 1];3.910708166329806;0.0;1.0
22;14;1;[34.690602395064076, 1.1837177054241166];3.4690602395064074;34.690602395064076;1.1837177054241166
23;14;2;[20.011326815741118, 0.904934316928766];2.8587609736773025;20.011326815741118;0.904934316928766
24;14;3;[13.68539876080408, 1.7999999999999998];3.42134969020102;13.68539876080408;1.7999999999999998
25;14;4;[3.910708166329806, 1.076283107808647];3.910708166329806;3.910708166329806;1.076283107808647
26;15;1;[38.15966263457048, 1.1837177054241166];3.4690602395064074;38.15966263457048;1.1837177054241166
27;15;2;[22.87008778941842, 0.904934316928766];2.8587609736773025;22.87008778941842;0.904934316928766
28;15;3;[17.1067484510051, 1.9999999999999998];3.42134969020102;17.1067484510051;1.9999999999999998
29;15;4;[7.821416332659612, 1.1625789821882466];3.910708166329806;7.821416332659612;1.1625789821882466
30;16;1;[41.628722874076885, 1.1837177054241166];3.4690602395064074;41.628722874076885;1.1837177054241166
31;16;2;[25.728848763095723, 0.904934316928766];2.8587609736773025;25.728848763095723;0.904934316928766
32;16;3;[20.52809814120612, 2.104934316928766];3.42134969020102;20.52809814120612;2.104934316928766
33;16;4;[11.732124498989418, 1.2594153190928634];3.910708166329806;11.732124498989418;1.2594153190928634
34;16;5;[0, 1];3.7931591555912103;0.0;1.0
35;17;1;[45.09778311358329, 1.1837177054241166];3.4690602395064074;45.09778311358329;1.1837177054241166
36;17;2;[28.587609736773025, 0.904934316928766];2.8587609736773025;28.587609736773025;0.904934316928766
